Classe,Número,Link,Url,Relator Atual,Classificação STF,Meio Processo,Data Autuação,Legislação,Data Andamento Atual,Andamento Atual,Observação Andamento Atual,Data Localização Atual,Localização Atual,Sem nenhuma decisão,Indicador de Tutela Antecipada,Indicador de Tutela Provisória,Sem decisão final,Recurso interno pendente,Em mesa/pauta,Acórdão pendente de publicação,Procedência,Órgão Origem,Ramo Direito Novo,Classificação,Origem:,Relator:,Redator do acórdão:,Relator do último incidente:,REQTE.(S),ADV.(A/S),INTDO.(A/S),PROC.(A/S)(ES)
ADI,6277,ADI-6277,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5826543,MIN. ROSA WEBER,Originária,Eletrônico,4/12/2019,"1 - Lei Federal nº 12858 de 2013 - Lei Federal nº 12858 de 2013, art. 2º, inciso II e §§ 1º e 3º.",30/11/2020,Conclusos ao(à) Relator(a),,30/11/2020,GABINETE MINISTRA ROSA WEBER,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6279,ADI-6279,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5828258,MIN. ROBERTO BARROSO,Originária,Eletrônico,6/12/2019,"1 - Emenda Constitucional nº 103 de 2019 - Emenda Constitucional nº 103 de 2019,  arts. 1º; 19, §1º, I, ‘a’, ‘b’, ‘c’; 20, iv; e 26.",9/10/2020,Petição,"Amicus curiae - Petição: 84555 Data: 09/10/2020, às 19:57:55",29/9/2020,PROCURADORIA-GERAL DA REPÚBLICA,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO PREVIDENCIÁRIO,Em tramitação,,,,,,,,
ADI,6280,ADI-6280,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5830074,MIN. CÁRMEN LÚCIA,Originária,Eletrônico,10/12/2019,"1 - Constituição Estadual de 1989, Art. 133, § 10 - Constituição do Estado do Paraná de 1989 arts. 133, §§10 e 112 - Constituição Estadual de 1989, Art. 133, § 11 - Constituição do Estado do Paraná de 1989 arts. 133, §§10 e 113 - Lei Estadual nº 18178 de 2014 - Lei nº 18.178 de 5 de agosto de 2014 do Estado do Paraná arts. 7º, 17 e 194 - Lei Estadual nº 18409 de 2014, Art. 28 - Lei nº 18.409 de 29 de dezembro de 2014 do Estado do Paraná art. 285 - Lei Federal nº 18532 de 2015 - Lei nº 18.532 de 27 de julho de 2015 arts. 7º e 17, VIII, alíneas “a”, “b” e “c”6 - Lei Federal nº 18660 de 2015 - Lei nº 18.660 de 22 de dezembro de 2015 art. 3º, II, §3º7 - Lei Federal nº 18907 de 2016, Art. 14, § único - Lei nº 18.907 de 25 de novembro de 2016 art. 14, caput e seu parágrafo único8 - Lei Federal nº 18948 de 2016, Art. 18 - Lei nº 18.948 de 22 de dezembro de 2016 art. 189 - Lei Federal nº 19090 de 2017 - Lei nº 19.090 de 31 de julho de 2017 art. 14, caput e seu parágrafo único, art. 19, inciso I10 - Lei Municipal nº 18397 de 2017 - Lei nº 18.397 de 2017 arts. 17 e 2111 - Lei Federal nº 19593 de 2018 - Lei nº 19.593, de 12 de julho de 2018 art. 18, caput e seu parágrafo único, art. 23, I12 - Lei Estadual nº 19883 de 2019, Art. 18, § único - Lei nº 19.883 de 2019 do Estado do Paraná art. 18 e parágrafo único13 - Lei Estadual nº 15942 de 2008, Art. 3º, Inciso X - Lei nº 15.942 de 03 de setembro de 2008 do Estado do Paraná art. 3º, X14 - Lei Estadual nº 12241 de 1998, Art. 3º, Inciso II - Lei nº 12.241 de 28 de julho de 1998 do Estado do Paraná art. 3º, II",12/6/2020,Conclusos ao(à) Relator(a),,12/6/2020,GABINETE MINISTRA CÁRMEN LÚCIA,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6281,ADI-6281,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5830283,MIN. LUIZ FUX,Originária,Eletrônico,10/12/2019,"1 - Lei Federal nº 9504 de 1997 - Lei Federal nº 9504 de 1997, Art. 43,e  Art. 57-C, § 1º, Inciso I.2 - Resolução nº 23551 de 2017 - Resolução nº 23551 de 2017, Art. 24, § 1º, Inciso I, Art. 36 - TSE",9/3/2020,Pauta publicada no DJE - Plenário,"PAUTA Nº 21/2020.  DJE nº 49, divulgado em 06/03/2020",5/3/2020,GABINETE MINISTRO LUIZ FUX,Não,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ELEITORAL E PROCESSO ELEITORAL,Em tramitação,,,,,,,,
ADI,6282,ADI-6282,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5830937,MIN. GILMAR MENDES,Originária,Eletrônico,11/12/2019,"1 - Lei Estadual nº 1327 de 2019 - Lei Estadual nº 1327 de 2019, arts. 3º; 9º, §5º; 11; 16; 19, § 1º e 2º; 23; 37; 42 §2º - RORAIMA",3/8/2020,Conclusos ao(à) Relator(a),,3/8/2020,GABINETE MINISTRO GILMAR MENDES,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6283,ADI-6283,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5830939,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,11/12/2019,"1 - Constituição Estadual - Constituição Estadual, Art. 58 - §§ 5º e 9º (Redação da EC 113/2019) - Espírito Santo",4/3/2020,Petição,Informações - Petição: 11110 Data: 04/03/2020 às 18:41:57,12/12/2019,GABINETE MINISTRO RICARDO LEWANDOWSKI,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6284,ADI-6284,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5830941,MIN. ROBERTO BARROSO,Originária,Eletrônico,11/12/2019,"1 - Lei Estadual nº 11651 de 1991 - Lei Estadual nº 11651 de 1991, Art. 45 - XII-A e § 2º (com redação dada pela Lei nº 17.519/ 2011) - GOIÁS",25/9/2020,Conclusos ao(à) Relator(a),,25/9/2020,GABINETE MINISTRO ROBERTO BARROSO,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO TRIBUTÁRIO,Em tramitação,,,,,,,,
ADI,6286,ADI-6286,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5833114,MIN. MARCO AURÉLIO,Originária,Eletrônico,13/12/2019,"1 - Lei Estadual nº 8400 de 2019 - Lei Estadual nº 8400 de 2019, Art. 1º, Inciso IV,  Art. 2º - incisos I, II, III, parágrafo único, Art. 3º - RIO DE JANEIRO.",10/9/2020,"Publicação, DJE"," DJE nº 224, divulgado em 09/09/2020",9/9/2020,GABINETE MINISTRO MARCO AURÉLIO,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6287,ADI-6287,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5833370,MIN. ROSA WEBER,Originária,Eletrônico,13/12/2019,"1 - Lei Federal nº 13649 de 2018 - Lei Federal nº 13649 de 2018, Art. 3º, § 1º, expressão “da capital”.",3/12/2020,Conclusos ao(à) Relator(a),,3/12/2020,GABINETE MINISTRA ROSA WEBER,Sim,Não,Não,Sim,Sim,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,637,ADPF-637,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5831971,MIN. ROBERTO BARROSO,Originária,Eletrônico,13/12/2019,"1 - Resolução nº 576 de 1970 - Resolução nº 576 de 1970, art. 61; §2º do art. 71; inciso II do art. 165; §1º do art. 183; §1º do art. 227; §5º do art. 253 e parágrafo único do art. 257 - Assembleia Legislativa do Estado de São Paulo",26/8/2020,Conclusos ao(à) Relator(a),,26/8/2020,GABINETE MINISTRO ROBERTO BARROSO,Não,Não,Não,Sim,Sim,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,638,ADPF-638,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5831989,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,13/12/2019,"1 - Projeto de Lei nº 5891 de 2019 - Requer que seja determinado pelo (a) Relator (a), aos Arguidos, Governador do Estado de Goiás e Secretária de Estado de Economia, que promovam todos os atos necessários à correção, de imediato, do Projeto de Lei nº 5.891/19 em trâmite na Assembleia Legislativa do Estado de Goiás, que fixa a LOA e ""Estima a Receita e Fixa a Despesa do Estado para o Exercício Financeiro de 2020” para o efeito de nele incluir a Proposta Orçamentária da Defensoria Pública do Estado de Goiás, nos valores por ela aprovados de R$ 134.211.000,00 (cento e trinta e quatro milhões, duzentos e onze mil reais) na rubrica de despesas obrigatórias com pessoal e encargos sociais (grupo 1) e assim, seja devidamente apreciada pela Assembleia Legislativa, em conformidade com o que determina a Constituição Federal, bem como a  a suspensão do trâmite legislativo do Projeto de Lei já mencionado, na Assembleia Legislativa do Estado de Goiás, ""Estima a Receita e Fixa a Despesa do Estado para o Exercício Financeiro de 2020” até que os Arguidos, Governador do Estado de Goiás e Secretário de Economia, promovam a correção do referido projeto, nos termos aqui requeridos, determinando-se nova apreciação do projeto com as devidas correções.2 - Outros - Em face da mensagem nº 66/19 contendo a minutada do Projeto de Lei Orçamentária do exercício financeiro de 2020 (LOA) para a Assembleia Legislativa do Estado de Goiá, reduzindo a proposta orçamentária para a Defensoria Pública do Estado de Goiás.",27/2/2020,Conclusos ao(à) Relator(a),,27/2/2020,GABINETE MINISTRO RICARDO LEWANDOWSKI,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6288,ADI-6288,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5834246,MIN. ROSA WEBER,Originária,Eletrônico,16/12/2019,"1 - Resolução nº 02 de 2019 - Resolução nº 02 de 2019, 1º, 4º e 8º, COEMA/CE.",9/12/2020,Petição,"PROCURADOR-GERAL DA REPÚBLICA - Petição: 105015 - Data: 09/12/2020, às 13:02:28, via Web Service MNI 2.2.2.",3/12/2020,CONTROLE CONCENTRADO E RECLAMAÇÕES,Não,Não,Não,Não,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,639,ADPF-639,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5835426,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,17/12/2019,"1 - Portaria nº 162 de 2001 - Portaria nº 162 de 21 de setembro de 2001, seja concedida medida liminar para suspender os efeitos da norma impugnada (orientação normativa da Secretaria de Patrimônio da União “ON-GEADE-002”).",24/6/2020,Vista à PGR,,25/6/2020,PROCURADORIA-GERAL DA REPÚBLICA,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6289,ADI-6289,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5836735,MIN. ROBERTO BARROSO,Originária,Eletrônico,18/12/2019,"1 - Emenda Constitucional nº 103 de 2019 - Emenda Constitucional nº 103 de 2019, Art. 25, § 3º.",29/9/2020,"Publicação, DJE"," DJE nº 238, divulgado em 28/09/2020",28/9/2020,PROCURADORIA-GERAL DA REPÚBLICA,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO PREVIDENCIÁRIO,Em tramitação,,,,,,,,
ADI,6290,ADI-6290,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5836737,MIN. ROSA WEBER,Originária,Eletrônico,18/12/2019,"1 - Lei Estadual nº 17205 - Lei Estadual nº 17205 de 2019. toda lei estadual, DO ESTADO DE SÃO PAULO.",9/12/2020,Transitado(a) em julgado,em 8/12/2020,30/11/2020,CONTROLE CONCENTRADO E RECLAMAÇÕES,Não,Não,Não,Não,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6291,ADI-6291,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5836738,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,18/12/2019,"1 - Emenda Constitucional nº 77 de 2019 - Emenda Constitucional nº 77 de 2019, art. 1°, DO ESTADO DO RIO GRANDE DO SUL.2 - Lei Estadual nº 15298 de 2019 - Lei Estadual nº 15298 de 2019, DO RIO GRANDE DO SUL.3 - Lei Estadual nº 15299 de 2019 - Lei Estadual nº 15299 de 2019, DO RIO GRANDE DO SUL.4 - Lei Estadual nº 15300 de 2019 - Lei Estadual nº 15300 de 2019, DO RIO GRANDE DO SUL.",18/11/2020,Remessa,Petição 98574/2020 ao gabinete do Ministro Relator,3/4/2020,PROCURADORIA-GERAL DA REPÚBLICA,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,640,ADPF-640,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5836739,MIN. GILMAR MENDES,Originária,Eletrônico,18/12/2019,"1 - Lei Federal nº 9605 de 1998 - Lei Federal nº 9605 de 1998, Art. 25, §§1º e 2º , e art. 32. (com redação conferida pela Lei 13.052/2014).2 - Decreto nº 6514 de 2008, Art. 101 - Decreto nº 6514 de 2008, arts. 101, 102 e 103.3 - Decreto nº 6514 de 2008, Art. 102 - Decreto nº 6514 de 2008, arts. 101, 102 e 103.4 - Decreto nº 6514 de 2008, Art. 103 - Decreto nº 6514 de 2008, arts. 101, 102 e 103.",27/11/2020,Conclusos ao(à) Relator(a),,27/11/2020,GABINETE MINISTRO GILMAR MENDES,Não,Não,Não,Sim,Sim,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO PENAL,Em tramitação,,,,,,,,
ADI,6293,ADI-6293,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5838900,MIN. ALEXANDRE DE MORAES,Originária,Eletrônico,20/12/2019,1 - Resolução nº 305 de 2019 - Resolução nº 305 de 2019 - CNJ,1/10/2020,Conclusos ao(à) Relator(a),,14/8/2020,GABINETE MINISTRO ALEXANDRE DE MORAES,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,642,ADPF-642,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5839268,MIN. EDSON FACHIN,Originária,Eletrônico,20/12/2019,"1 - Resolução nº 2232 de 2019 - Resolução nº 2232 de 2019, do Conselho Federal de Medicina.",6/2/2020,Vista à PGR,,7/2/2020,PROCURADORIA-GERAL DA REPÚBLICA,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6294,ADI-6294,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5839453,MIN. DIAS TOFFOLI,Originária,Eletrônico,23/12/2019,"1 - Lei Complementar nº 2 de 1990 - Lei Complementar nº 2 de 1990, Art. 8º , SERGIPE - Redação dada pela LC 332/2019.",4/11/2020,"Ata de Julgamento Publicada, DJE","ATA Nº 1, de 27/10/2020.  DJE nº 263, divulgado em 03/11/2020",23/11/2020,PUBLICAÇÃO DE ACÓRDÃOS,Não,Não,Não,Não,Não,Não,Sim,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6296,ADI-6296,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5839922,MIN. MARCO AURÉLIO,Originária,Eletrônico,26/12/2019,"1 - Portaria nº 739 de 2019 - Portaria nº 739 de 2019, MINISTRO DE ESTADO DA JUSTIÇA E SEGURANÇA PÚBLICA.",18/9/2020,Intimado eletronicamente,PROCURADOR-GERAL DA REPÚBLICA,11/9/2020,GABINETE MINISTRO MARCO AURÉLIO,Não,Não,Não,Sim,Sim,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6297,ADI-6297,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5840114,MIN. MARCO AURÉLIO,Originária,Eletrônico,27/12/2019,"1 - Lei Federal nº 13877 de 2019 - Lei Federal nº 13877 de 2019, arts. 2º, 4º e 5º.",18/5/2020,"Publicação, DJE"," DJE nº 122, divulgado em 15/05/2020",14/5/2020,PROCURADORIA-GERAL DA REPÚBLICA,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6298,ADI-6298,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5840274,MIN. LUIZ FUX,Originária,Eletrônico,27/12/2019,"1 - Lei Federal nº 13964 de 2019 - Lei Federal nº 13964 de 2019, Art. 3º e 20°.",4/11/2020,Conclusos ao(à) Relator(a),,4/5/2020,GABINETE MINISTRO LUIZ FUX,Não,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6299,ADI-6299,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5840373,MIN. LUIZ FUX,Originária,Eletrônico,30/12/2019,"1 - Lei Federal nº 13964 de 2019 - Lei Federal nº 13964 de 2019, Arts.  3º-A, 3º-B, 3º-C, 3º-D, 3º-E e 3º-F  e o § 5º do art.
157.",11/9/2020,Pauta publicada no DJE - Plenário,"PAUTA Nº 125/2020.  DJE nº 225, divulgado em 10/09/2020",29/4/2020,GABINETE MINISTRO LUIZ FUX,Não,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6300,ADI-6300,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5840552,MIN. LUIZ FUX,Originária,Eletrônico,2/1/2020,"1 - Lei Federal nº 13964 de 2019 - Lei Federal nº 13964 de 2019, Art. 3º.",11/9/2020,Pauta publicada no DJE - Plenário,"PAUTA Nº 125/2020.  DJE nº 225, divulgado em 10/09/2020",29/4/2020,PROCURADORIA-GERAL DA REPÚBLICA,Não,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,643,ADPF-643,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5840807,MIN. ROSA WEBER,Originária,Eletrônico,6/1/2020,"1 - Resolução nº 93 de 1970 - Resolução nº 93 de 1970,  art. 28, III, art. 32, V, e art. 45, DO SENADO FEDERAL.2 - Outros - Determina que em todos os casos em que seja decretada a perda de mandato de Senador da República, não havendo suplentes, e desde que as eleições em questão permaneçam válidas, seja nomeado interinamente o candidato mais bem colocado nas eleições para exercer o cargo até que o novo senador eleito nos termos do art. 224, §3º, do Código Eleitoral, seja empossado, evitando, assim, lesão ao preceito fundamental da Forma Federativa de Estado e normas dele decorrentes.",25/3/2020,Conclusos ao(à) Relator(a),,3/2/2020,GABINETE MINISTRA ROSA WEBER,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ELEITORAL E PROCESSO ELEITORAL,Em tramitação,,,,,,,,
ADPF,644,ADPF-644,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5841458,MIN. ROSA WEBER,Originária,Eletrônico,8/1/2020,"1 - Resolução nº 93 de 1970 - Resolução nº 93 de 1970, art. 28, III, 32, V, e art. 45, DO SENADO FEDERAL.2 - Outros - Determina que, em todos os casos em que seja decretada a perda de mandato de Senador da República, não havendo suplentes, e desde que as eleições em questão permaneçam válidas, seja nomeado interinamente o candidato mais bem colocado nas eleições para exercer o cargo até que o novo senador, eleito nos termos do art. 224, 430, do Código Eleitoral, seja empossado.",24/3/2020,Conclusos ao(à) Relator(a),,16/3/2020,GABINETE MINISTRA ROSA WEBER,Não,Não,Não,Sim,Sim,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ELEITORAL E PROCESSO ELEITORAL,Em tramitação,,,,,,,,
ADI,6302,ADI-6302,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5841828,MIN. ALEXANDRE DE MORAES,Originária,Eletrônico,9/1/2020,"1 - Lei Federal nº 13869 de 2019 - Lei Federal nº 13869 de 2019, arts. 9º, 11, 19, 25, 27, 30 e 34.",6/7/2020,Apensado ao Processo nº,,7/7/2020,PROCURADORIA-GERAL DA REPÚBLICA,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADC,68,ADC-68,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5842994,MIN. ROBERTO BARROSO,Originária,Eletrônico,14/1/2020,"1 - Lei Federal nº 9503 de 1997 - ""Lei Federal nº 9503 de 1997"", Art. 257, § 7 do Código de Trânsito Brasileiro.",29/10/2020,Conclusos ao(à) Relator(a),,29/10/2020,GABINETE MINISTRO ROBERTO BARROSO,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6303,ADI-6303,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5842989,MIN. ROBERTO BARROSO,Originária,Eletrônico,14/1/2020,"1 - Lei Complementar nº 278 de 2019 - Lei Complementar nº 278 de 2019, DO ESTADO DE RORAIMA.",4/2/2020,"Publicação, DJE"," DJE nº 21, divulgado em 03/02/2020",16/1/2020,GABINETE MINISTRO ROBERTO BARROSO,Sim,Não,Sim,Sim,Não,Não,Não,RORAIMA,SUPREMO TRIBUNAL FEDERAL,DIREITO TRIBUTÁRIO,Em tramitação,,,,,,,,
ADI,6304,ADI-6304,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5843708,MIN. LUIZ FUX,Originária,Eletrônico,16/1/2020,"1 - Lei Federal nº 13964 de 2019, Art. 2º - Lei Federal nº 13964 de 2019,  Arts. 2º, 3º e 4º  (alterações nos arts. 91-A 116, IV ambos do Código Penal, art. 28-A do Código de Processo Penal e 112 da Lei Execução Penal).2 - Lei Federal nº 13964 de 2019, Art. 3º - Lei Federal nº 13964 de 2019,  Arts. 2º, 3º e 4º  (alterações nos arts. 91-A 116, IV ambos do Código Penal, art. 28-A do Código de Processo Penal e 112 da Lei Execução Penal).3 - Lei Federal nº 13964 de 2019, Art. 4º - Lei Federal nº 13964 de 2019,  Arts. 2º, 3º e 4º  (alterações nos arts. 91-A 116, IV ambos do Código Penal, art. 28-A do Código de Processo Penal e 112 da Lei Execução Penal).",16/9/2020,Petição,"Informações - Petição: 75309 Data: 16/09/2020, às 13:59:57",11/9/2020,GABINETE MINISTRO LUIZ FUX,Não,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6305,ADI-6305,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5844852,MIN. LUIZ FUX,Originária,Eletrônico,20/1/2020,"1 - Lei Federal nº 13964 de 2019 - Lei Federal nº 13964 de 2019, artigos 3º-A, 3º-B (incisos IV, VIII, IX, X e XI, alíneas ‘d’ e ‘e’), parágrafo único do artigo 3º-D.",11/9/2020,Pauta publicada no DJE - Plenário,"PAUTA Nº 125/2020.  DJE nº 225, divulgado em 10/09/2020",26/5/2020,GABINETE MINISTRO LUIZ FUX,Não,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
